,Car Name,Price,Depreciation,Reg Date,Mileage,Road Tax,Dereg Value,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,COE,Status
0,Toyota Vios 1.5M E (COE till 07/2022),"$11,800 ","$7,980 /yr",,"165,200 km (12.2k /yr)",$958 /yr,,"1,497 cc","1,075 kg",2007,Manual,"$11,989 ","$13,188 ",80.0 kW (107 bhp),3,"$24,100 ",Available
1,Mitsubishi Lancer EX 1.6A,"$28,800 ",,,"128,000 km (15.9k /yr)",$738 /yr,,"1,590 cc","1,322 kg",2012,Auto,"$16,673 ","$16,673 ",86.0 kW (115 bhp),1,"$66,889 ",Available
2,Kia Cerato K3 1.6A SX,"$58,888 ",,,"46,974 km (11.9k /yr)",$738 /yr,,"1,591 cc","1,295 kg",2016,Auto,"$17,780 ","$17,780 ",95.3 kW (127 bhp),1,"$48,401 ",Available
5,Toyota Corolla Axio 1.5A X (COE till 04/2024),"$22,800 ","$7,080 /yr",,"125,000 km (10.6k /yr)",$818 /yr,,"1,496 cc","1,130 kg",2008,Auto,"$12,135 ","$12,135 ",81.0 kW (108 bhp),4,"$13,088 ",Available
6,Mazda 3 1.5A,"$65,800 ",,,"23,443 km (8.5k /yr)",$682 /yr,,"1,496 cc","1,310 kg",2017,Auto,"$14,299 ","$14,299 ",88.0 kW (118 bhp),2,"$38,389 ",Available
7,Honda Civic 1.6A VTi (COE till 10/2023),"$21,800 ","$8,070 /yr",,"128,888 km (10.5k /yr)",$962 /yr,,"1,595 cc","1,220 kg",2008,Auto,"$20,060 ","$20,060 ",92.0 kW (123 bhp),3,"$15,142 ",Available
8,Hyundai Elantra 1.6A Elite,"$38,500 ",,,"127,000 km (19.3k /yr)",$738 /yr,,"1,591 cc","1,292 kg",2014,Auto,"$13,360 ","$13,360 ",97.0 kW (130 bhp),2,"$61,990 ",Available
9,Mazda 3 1.5A Deluxe,"$77,500 ",,,"24,000 km (11k /yr)",$682 /yr,,"1,496 cc","1,331 kg",2018,Auto,"$17,656 ","$17,656 ",88.0 kW (118 bhp),1,"$25,000 ",Available
11,Toyota Corolla Altis 1.6A (COE till 04/2022),"$8,500 ","$7,200 /yr",,"150,000 km (10.8k /yr)","$1,039 /yr",,"1,598 cc","1,115 kg",2006,Auto,"$15,355 ","$16,891 ",81.0 kW (108 bhp),4,"$25,115 ",Available
13,Subaru Impreza 4D 2.0i-S,"$66,500 ",,,"49,300 km (13.4k /yr)","$1,208 /yr",,"1,995 cc","1,438 kg",2016,Auto,"$20,821 ","$21,150 ",115.0 kW (154 bhp),1,"$46,229 ",Available
